epoch,max_pred,step,train_loss,val_loss,val_max_pred
0,,5,,0.8469078540802002,-0.26678067445755005
1,,11,,0.6714254021644592,-0.09069167822599411
2,,17,,0.6890140771865845,-0.19442176818847656
3,,23,,0.6810504794120789,-0.08143028616905212
4,,29,,0.673227846622467,0.01640269160270691
5,,35,,0.672732412815094,-0.12204709649085999
6,,41,,0.6674244403839111,-0.085080087184906
7,,47,,0.6669117212295532,-0.07987788319587708
8,-0.008866816759109497,49,0.6657752394676208,,
8,,53,,0.6666668653488159,-0.06577496230602264
9,,59,,0.6667197942733765,-0.057514071464538574
